User_ID,Name,Age,Country,Subscription_Type,Watch_Time_Hours,Favorite_Genre,Last_Login,Subscription_Start,Loyalty,Usage_Ratio,Churn_Flag
31,Chris Jones,14,Germany,Premium,81.89,Drama,2024-08-06,2023-12-02,5952,0.013926411290322582,1
32,John Williams,27,Canada,Standard,568.86,Sci-Fi,2025-02-01,2024-05-04,6552,0.08697496947496948,0
33,Jane Brown,59,UK,Standard,67.28,Sci-Fi,2024-07-21,2023-12-30,4896,0.01394607843137255,0
34,David Davis,56,Mexico,Basic,835.85,Documentary,2024-07-11,2023-11-08,5904,0.1417428861788618,0
35,Emma Hernandez,52,India,Basic,91.07,Sci-Fi,2024-12-04,2024-10-21,1056,0.08718749999999999,1
36,Michael Jones,26,UK,Basic,703.81,Comedy,2024-06-06,2024-02-18,2616,0.26942278287461774,0
37,Sarah Williams,64,Germany,Basic,693.84,Documentary,2024-06-28,2024-04-29,1440,0.4825277777777778,0
38,David Martinez,80,Brazil,Premium,431.61,Drama,2024-08-08,2024-01-13,4992,0.08666065705128205,1
39,Emma Smith,70,USA,Standard,13.5,Comedy,2024-10-27,2024-03-16,5400,0.002685185185185185,0
40,Sarah Hernandez,15,Brazil,Premium,914.7,Horror,2024-04-30,2024-01-07,2736,0.3346856725146199,0
41,John Jones,23,Germany,Standard,404.84,Romance,2024-10-29,2023-12-28,7344,0.055261437908496726,1
42,James Williams,40,Canada,Premium,610.93,Romance,2024-10-02,2023-12-20,6888,0.08884001161440185,0
43,David Brown,35,Canada,Premium,834.96,Documentary,2024-06-08,2023-06-27,8328,0.10037944284341979,0
44,Chris Garcia,68,Japan,Basic,145.66,Documentary,2024-04-12,2024-02-28,1056,0.13888257575757576,0
45,Chris Jones,50,USA,Basic,370.08,Action,2024-03-30,2024-01-05,2040,0.18190196078431373,0
46,John Johnson,45,India,Standard,474.83,Drama,2024-11-01,2024-07-29,2280,0.20869736842105263,0
47,Sarah Smith,16,Brazil,Premium,321.21,Documentary,2024-04-13,2023-10-18,4272,0.07542368913857678,1
48,Sarah Garcia,40,Australia,Basic,197.08,Comedy,2024-10-19,2024-02-22,5760,0.03438888888888889,1
49,Michael Brown,57,Australia,Premium,420.58,Sci-Fi,2024-09-18,2024-01-10,6048,0.06970568783068783,1
50,David Hernandez,72,Brazil,Basic,479.4,Action,2024-07-13,2023-11-04,6048,0.07943121693121692,1
51,Sarah Jones,53,Germany,Standard,12.4,Horror,2025-02-09,2024-12-25,1104,0.01213768115942029,0
52,Alex Jones,55,Japan,Basic,157.64,Action,2024-12-28,2024-09-23,2304,0.06885416666666666,0
53,John Smith,65,Canada,Standard,589.28,Comedy,2025-02-21,2024-10-17,3048,0.19366141732283465,0
54,Chris Martinez,27,France,Standard,367.56,Romance,2025-02-27,2024-05-12,6984,0.05277205040091638,0
55,David Hernandez,72,USA,Premium,889.42,Horror,2024-12-11,2023-11-29,9072,0.09815035273368607,0
56,Alex Davis,16,Mexico,Premium,739.71,Sci-Fi,2024-08-11,2023-08-29,8352,0.08868654214559388,1
57,Jane Garcia,55,Japan,Basic,672.43,Documentary,2024-12-01,2023-12-27,8160,0.0825281862745098,0
58,David Martinez,29,USA,Premium,625.92,Horror,2024-05-02,2023-12-10,3456,0.18140046296296294,0
59,Michael Martinez,41,Japan,Premium,611.38,Drama,2024-09-29,2023-09-30,8760,0.06990639269406393,0
60,Chris Smith,49,Australia,Premium,997.8,Comedy,2024-08-14,2024-04-02,3216,0.3105721393034826,0
61,Alex Hernandez,70,Canada,Standard,17.03,Horror,2024-07-11,2023-10-30,6120,0.002946078431372549,0
62,James Hernandez,70,India,Standard,251.57,Drama,2024-05-07,2023-07-12,7200,0.03507916666666667,1
63,Katie Hernandez,68,France,Basic,247.53,Romance,2025-02-15,2025-01-04,1008,0.24655753968253968,0
64,David Hernandez,55,France,Basic,637.46,Action,2024-10-28,2023-11-25,8112,0.07870562130177515,1
65,Katie Martinez,28,USA,Premium,331.5,Comedy,2025-01-10,2024-08-17,3504,0.09489155251141553,0
66,David Smith,40,France,Premium,539.51,Romance,2024-05-15,2023-10-02,5424,0.09965154867256637,1
67,James Davis,27,Canada,Premium,347.83,Romance,2024-07-25,2023-11-05,6312,0.05526457541191381,1
68,John Miller,33,Brazil,Basic,772.69,Action,2025-01-11,2023-12-20,9312,0.08308526632302406,0
69,David Smith,66,Brazil,Premium,531.37,Sci-Fi,2024-08-22,2024-01-29,4944,0.10768001618122977,1
70,Chris Davis,27,Germany,Standard,868.11,Action,2024-11-11,2024-08-09,2256,0.3852437943262411,0
71,John Williams,52,Canada,Basic,482.75,Action,2024-10-03,2024-03-07,5040,0.09598214285714286,0
72,David Garcia,45,Germany,Basic,111.95,Comedy,2024-10-31,2024-05-03,4344,0.026001381215469615,1
73,Alex Williams,29,UK,Standard,915.15,Drama,2025-02-12,2024-09-20,3480,0.26326149425287354,0
74,Emma Brown,58,USA,Standard,255.7,Sci-Fi,2024-12-08,2024-01-05,8112,0.03164447731755424,0
75,Michael Davis,52,Germany,Premium,351.09,Sci-Fi,2024-11-09,2024-05-24,4056,0.08680719921104536,1
76,Emma Garcia,51,India,Basic,890.7,Sci-Fi,2024-05-18,2023-08-16,6624,0.13461654589371982,0
77,Jane Martinez,46,Brazil,Basic,452.21,Romance,2024-08-21,2023-10-09,7608,0.059570189274447946,1
78,David Hernandez,60,India,Standard,703.49,Comedy,2024-06-06,2023-09-04,6624,0.10635416666666667,1
79,James Davis,27,Australia,Premium,114.84,Romance,2024-12-21,2024-08-03,3360,0.03447619047619048,0
80,James Williams,75,India,Premium,735.79,Documentary,2024-10-16,2024-04-25,4176,0.17643438697318006,0
81,John Brown,70,USA,Premium,486.56,Horror,2024-05-15,2023-05-01,9120,0.05346052631578947,0
82,Sarah Garcia,78,France,Premium,443.05,Drama,2024-11-20,2024-05-19,4440,0.10001126126126127,1
83,Jane Davis,74,Australia,Premium,609.74,Documentary,2024-08-16,2024-04-10,3072,0.19880859375,0
84,Michael Smith,70,France,Premium,101.32,Romance,2024-07-19,2023-10-19,6576,0.015559610705596106,1
85,David Martinez,59,Germany,Basic,452.51,Action,2024-11-16,2024-01-02,7656,0.0592358934169279,1
86,Emma Johnson,73,Brazil,Basic,726.72,Documentary,2024-04-08,2023-08-29,5352,0.1359715994020927,0
87,James Davis,76,Japan,Standard,164.45,Drama,2024-05-11,2023-07-18,7152,0.023133389261744963,0
88,Emma Smith,78,France,Basic,924.9,Comedy,2024-03-23,2023-06-23,6576,0.14079987834549879,0
89,Katie Williams,71,USA,Basic,740.04,Comedy,2024-12-14,2023-12-11,8856,0.08367660343270099,0
90,David Martinez,73,UK,Premium,598.3,Comedy,2024-12-23,2024-08-10,3240,0.18496913580246913,0
91,Katie Jones,61,Japan,Standard,523.21,Romance,2024-04-28,2023-05-02,8688,0.06033724677716391,0
92,Michael Martinez,70,Australia,Basic,858.29,Drama,2024-11-09,2023-12-11,8016,0.10719685628742515,1
93,Sarah Davis,49,Japan,Standard,635.38,Documentary,2024-04-10,2024-02-07,1512,0.42088624338624336,0
94,Michael Brown,40,Brazil,Standard,402.75,Documentary,2024-09-20,2023-12-06,6936,0.05821078431372549,1
95,Emma Garcia,33,France,Basic,435.56,Comedy,2025-03-05,2024-11-29,2304,0.18947916666666667,0
96,James Smith,37,France,Standard,164.11,Romance,2024-05-16,2023-09-16,5832,0.02831104252400549,1
97,Jane Miller,49,USA,Premium,413.2,Sci-Fi,2024-07-22,2024-03-26,2832,0.14625706214689266,0
98,James Jones,32,Canada,Premium,626.92,Horror,2024-04-26,2023-06-27,7296,0.08606359649122806,0
99,Michael Brown,57,Australia,Basic,731.09,Romance,2024-10-23,2024-03-12,5400,0.13557222222222223,0
100,David Jones,31,Japan,Basic,122.87,Romance,2024-07-04,2023-09-30,6672,0.018565647482014388,0
101,John Johnson,18,France,Standard,540.53,Action,2024-09-07,2024-06-18,1944,0.2785648148148148,0
102,Emma Johnson,55,Australia,Premium,503.97,Horror,2025-03-08,2024-10-25,3216,0.15701803482587065,0
103,Sarah Hernandez,70,Japan,Standard,225.38,Action,2024-12-12,2024-01-30,7608,0.02975552050473186,0
104,James Garcia,79,USA,Basic,135.98,Drama,2024-03-14,2023-12-20,2040,0.0671470588235294,0
105,Katie Hernandez,39,USA,Basic,709.87,Horror,2024-12-13,2024-07-31,3240,0.21940432098765433,0
106,Alex Hernandez,67,Japan,Standard,488.31,Comedy,2025-01-28,2024-06-20,5328,0.09183746246246247,0
107,Katie Jones,77,UK,Premium,690.18,Drama,2024-11-18,2024-04-25,4968,0.13912640901771336,0
108,James Smith,57,Canada,Basic,808.07,Action,2024-09-04,2024-02-09,4992,0.1620733173076923,0
109,Sarah Martinez,17,Australia,Standard,978.84,Comedy,2025-02-27,2024-08-15,4704,0.20829931972789117,0
110,Sarah Brown,53,Australia,Premium,81.11,Horror,2024-03-09,2023-07-04,5976,0.01373995983935743,1
111,James Martinez,37,Australia,Basic,271.58,Romance,2024-05-29,2023-10-11,5544,0.049166666666666664,1
112,Sarah Garcia,43,Canada,Premium,229.82,Comedy,2024-11-23,2024-04-13,5376,0.042935267857142856,0
113,John Martinez,34,France,Basic,748.26,Documentary,2024-08-12,2023-07-13,9504,0.07883627946127945,1
114,Chris Miller,70,France,Premium,356.57,Documentary,2024-03-23,2023-08-16,5280,0.06772159090909091,1
115,John Johnson,23,Canada,Premium,87.79,Documentary,2024-09-03,2023-10-28,7464,0.011895766345123258,0
116,Katie Miller,37,Mexico,Standard,627.39,Comedy,2024-08-31,2023-09-06,8640,0.07273032407407408,1
117,Sarah Jones,33,France,Basic,13.55,Romance,2024-05-12,2023-06-06,8184,0.001777859237536657,1
118,Sarah Miller,15,UK,Premium,336.13,Drama,2024-05-12,2023-08-05,6744,0.04998962040332147,0
119,Jane Davis,50,UK,Basic,251.13,Horror,2024-10-17,2023-11-22,7920,0.03183459595959596,0
120,John Miller,55,Canada,Standard,175.47,Drama,2024-12-04,2023-12-22,8352,0.021129070881226054,0
121,Sarah Williams,44,Canada,Premium,98.9,Action,2025-01-08,2024-12-03,864,0.115625,0
122,Katie Davis,44,Canada,Standard,988.14,Drama,2025-01-29,2024-03-15,7680,0.12879427083333334,0
123,Katie Davis,80,UK,Standard,816.36,Documentary,2024-09-07,2023-11-06,7344,0.1112962962962963,0
124,Emma Miller,58,Brazil,Basic,732.09,Romance,2025-02-01,2024-08-29,3744,0.195803952991453,0
125,James Davis,20,Australia,Basic,202.57,Action,2024-09-18,2024-05-26,2760,0.0737572463768116,1
126,Jane Williams,68,Germany,Standard,758.62,Romance,2024-03-17,2023-05-22,7200,0.10550277777777778,1
127,James Smith,61,Japan,Premium,10.31,Romance,2024-07-24,2023-12-22,5160,0.002191860465116279,0
128,John Martinez,70,Brazil,Standard,633.29,Romance,2025-03-05,2024-02-13,9264,0.06846826424870465,0
129,John Miller,63,Germany,Premium,278.69,Documentary,2024-12-25,2024-10-06,1920,0.145671875,0
130,Sarah Jones,77,India,Basic,147.04,Horror,2024-07-31,2024-01-20,4632,0.03196027633851468,1
131,Sarah Jones,79,Mexico,Premium,884.66,Documentary,2025-02-23,2024-12-11,1776,0.49868243243243243,0
132,Emma Jones,44,UK,Premium,485.81,Sci-Fi,2024-07-04,2023-10-05,6552,0.07429945054945054,0
133,James Martinez,36,USA,Standard,479.08,Comedy,2024-05-10,2023-11-16,4224,0.11365530303030302,0
134,Katie Williams,37,Germany,Basic,744.34,Drama,2025-02-12,2024-08-27,4056,0.18376232741617357,0
135,James Davis,70,Mexico,Basic,17.94,Documentary,2024-10-21,2024-01-03,7008,0.002702625570776256,1
136,Jane Garcia,78,Canada,Standard,457.57,Comedy,2025-03-04,2024-05-18,6960,0.06588649425287356,0
137,Emma Jones,37,Australia,Premium,325.1,Action,2025-02-10,2024-11-30,1728,0.1887152777777778,0
138,James Martinez,46,Mexico,Standard,18.62,Comedy,2024-09-08,2024-03-30,3888,0.005046296296296296,1
139,Sarah Williams,38,UK,Standard,80.87,Romance,2024-11-27,2024-05-18,4632,0.017674870466321244,0
140,Chris Johnson,67,Brazil,Standard,164.13,Comedy,2024-10-30,2024-01-06,7152,0.02308864653243848,1
141,David Brown,62,Mexico,Premium,640.75,Horror,2024-06-20,2023-10-28,5664,0.11330331920903955,1
142,Jane Williams,53,USA,Standard,793.72,Romance,2024-08-25,2024-02-25,4368,0.18194139194139194,0
143,Katie Williams,54,Germany,Standard,517.41,Action,2024-04-19,2024-02-20,1416,0.36610875706214685,0
144,Alex Davis,38,France,Basic,999.14,Comedy,2024-06-11,2023-09-04,6744,0.14830071174377224,0
145,Jane Miller,80,Germany,Standard,766.11,Romance,2024-11-15,2024-04-25,4896,0.1566809640522876,0
146,Sarah Garcia,76,Germany,Basic,689.16,Action,2025-02-23,2024-11-15,2400,0.28756666666666664,0
147,Chris Brown,14,Brazil,Standard,702.52,Action,2024-08-09,2023-12-02,6024,0.11678618857901726,1
148,Emma Davis,51,India,Basic,975.55,Sci-Fi,2025-02-13,2024-06-24,5616,0.17388710826210826,0
149,Alex Martinez,32,India,Basic,670.83,Action,2024-04-01,2023-03-06,9408,0.07141050170068028,1
150,Emma Williams,56,Brazil,Premium,342.26,Drama,2024-08-08,2023-09-22,7704,0.04455607476635514,1
151,Katie Martinez,34,UK,Basic,846.85,Documentary,2024-10-18,2024-04-04,4728,0.17932529610829104,0
152,David Martinez,55,Australia,Premium,558.87,Romance,2024-10-14,2024-05-05,3888,0.14399948559670783,0
153,Jane Miller,52,Brazil,Basic,989.34,Action,2024-05-11,2023-10-08,5184,0.1910378086419753,0
154,Chris Smith,15,Japan,Basic,835.1,Romance,2024-08-12,2023-11-06,6720,0.12441964285714285,0
155,John Smith,70,USA,Basic,242.26,Horror,2024-07-10,2024-05-01,1680,0.14479761904761904,0
156,Alex Smith,76,Canada,Basic,759.5,Sci-Fi,2024-10-31,2024-05-16,4032,0.18861607142857142,0
157,David Johnson,51,Brazil,Premium,507.15,Documentary,2024-06-21,2024-02-10,3168,0.16040088383838383,0
158,Alex Williams,42,Japan,Premium,269.42,Documentary,2024-06-20,2023-08-20,7320,0.036942622950819674,0
159,John Hernandez,58,UK,Premium,153.32,Comedy,2024-09-16,2024-05-10,3096,0.04984496124031008,0
160,Emma Smith,50,USA,Basic,457.19,Drama,2024-05-15,2023-06-21,7896,0.058028115501519754,0
161,David Jones,79,Brazil,Standard,799.77,Comedy,2024-07-10,2024-04-25,1824,0.4390186403508772,0
162,James Jones,57,Australia,Basic,934.12,Documentary,2025-03-07,2024-05-07,7296,0.1281688596491228,0
163,John Jones,61,Germany,Basic,961.56,Sci-Fi,2024-04-15,2023-03-20,9408,0.10231292517006803,1
164,John Davis,49,Australia,Basic,478.8,Drama,2024-06-03,2023-12-27,3816,0.12573375262054506,1
165,Sarah Jones,24,Brazil,Standard,56.21,Documentary,2024-08-23,2024-03-18,3792,0.015087025316455697,1
166,John Brown,76,Japan,Basic,885.8,Comedy,2024-09-14,2024-05-07,3120,0.28423076923076923,0
167,John Smith,54,UK,Basic,14.28,Horror,2025-02-23,2024-06-06,6288,0.0024300254452926206,0
168,Katie Williams,45,Canada,Premium,580.9,Sci-Fi,2024-10-04,2024-07-20,1824,0.31902412280701753,0
169,Sarah Brown,43,USA,Basic,566.29,Documentary,2024-07-23,2024-05-26,1392,0.4075359195402299,0
170,Jane Jones,43,Canada,Standard,358.64,Horror,2024-12-25,2024-01-19,8184,0.04394428152492669,0
171,Chris Davis,50,Australia,Premium,826.06,Action,2024-03-21,2023-03-11,9024,0.0916511524822695,1
172,Michael Williams,46,USA,Standard,893.69,Horror,2024-08-20,2023-07-25,9408,0.09509885204081633,0
173,Alex Williams,43,Germany,Basic,737.2,Action,2024-07-17,2023-08-04,8352,0.0883860153256705,1
174,Katie Brown,18,Canada,Premium,72.54,Drama,2024-09-15,2024-01-27,5568,0.013207614942528737,0
175,John Davis,53,Mexico,Basic,741.62,Action,2024-12-03,2024-06-20,3984,0.18640060240963854,0
176,Sarah Smith,26,UK,Basic,945.3,Sci-Fi,2025-02-11,2024-10-31,2472,0.3828074433656958,0
177,Jane Garcia,78,Canada,Standard,46.3,Action,2024-10-20,2024-03-24,5040,0.009384920634920635,0
178,Emma Smith,79,India,Premium,466.93,Horror,2025-03-07,2024-10-20,3312,0.14128321256038648,0
179,Jane Smith,40,France,Basic,866.49,Horror,2024-09-28,2024-06-01,2856,0.30374299719887954,0
180,Katie Jones,26,India,Standard,192.61,Horror,2024-10-08,2024-06-18,2688,0.07202752976190477,1
181,Alex Garcia,47,Canada,Premium,414.81,Comedy,2024-10-19,2023-11-02,8448,0.04921993371212121,0
182,Katie Williams,63,Japan,Standard,332.14,Drama,2024-11-30,2024-05-15,4776,0.06975293132328308,0
183,John Williams,25,India,Premium,531.46,Romance,2024-07-30,2023-09-14,7680,0.06933072916666667,1
184,John Davis,20,Australia,Premium,260.06,Action,2025-03-05,2024-11-05,2880,0.09064583333333333,0
185,Alex Jones,78,Australia,Basic,301.54,Drama,2024-10-27,2024-03-23,5232,0.05782492354740062,1
186,Emma Smith,63,India,Basic,870.79,Sci-Fi,2025-03-05,2024-09-10,4224,0.20638967803030303,0
187,John Davis,60,France,Standard,553.57,Documentary,2024-08-13,2023-10-13,7320,0.07576092896174864,1
188,David Miller,14,Mexico,Basic,792.96,Drama,2025-03-02,2024-05-05,7224,0.10990586932447398,0
189,Jane Martinez,78,Japan,Standard,982.44,Documentary,2024-06-02,2023-06-27,8184,0.1201661779081134,0
190,Sarah Williams,30,Germany,Basic,174.99,Documentary,2025-01-18,2024-07-05,4728,0.03722292724196278,0
191,Alex Martinez,67,Australia,Standard,727.39,Sci-Fi,2024-10-31,2024-02-22,6048,0.1204348544973545,1
192,Jane Martinez,40,Brazil,Premium,3.69,Sci-Fi,2025-01-07,2024-03-27,6864,0.0006832750582750582,0
193,Katie Johnson,38,India,Premium,455.69,Sci-Fi,2024-12-25,2024-09-28,2112,0.21623579545454547,0
194,Chris Williams,57,Australia,Standard,956.44,Comedy,2025-01-09,2024-08-08,3696,0.2590476190476191,0
195,Alex Brown,34,Germany,Standard,109.93,Horror,2024-07-11,2023-08-26,7680,0.014444010416666668,1
196,Alex Garcia,33,Australia,Basic,748.3,Horror,2024-03-12,2023-06-01,6840,0.10954678362573099,1
197,Jane Jones,39,Australia,Basic,914.92,Action,2024-09-19,2024-05-01,3384,0.27066193853427895,0
198,Michael Garcia,18,UK,Premium,747.86,Documentary,2025-02-08,2024-03-11,8016,0.09342065868263473,0
199,Katie Brown,72,Mexico,Basic,235.91,Romance,2024-05-02,2023-07-20,6888,0.03439459930313589,1
200,Jane Brown,49,Germany,Premium,749.77,Romance,2024-08-20,2023-08-31,8520,0.08811854460093896,1
201,James Smith,66,Germany,Basic,628.14,Comedy,2024-04-28,2023-11-18,3888,0.16181584362139917,0
202,John Hernandez,80,USA,Standard,776.4,Action,2024-08-05,2023-10-12,7152,0.10869686800894854,0
203,James Miller,75,UK,Basic,838.37,Documentary,2024-08-15,2023-09-22,7872,0.10662728658536585,0
204,Michael Williams,48,Brazil,Basic,222.55,Drama,2024-06-09,2023-12-09,4392,0.050899362477231334,1
205,David Garcia,16,Canada,Basic,701.24,Action,2024-08-03,2023-07-21,9096,0.07720316622691294,0
206,John Brown,40,Australia,Standard,444.18,Drama,2025-02-18,2024-12-13,1608,0.27685323383084576,0
207,Sarah Miller,53,India,Premium,883.16,Action,2024-10-24,2024-06-08,3312,0.2669565217391304,0
208,Alex Brown,23,Mexico,Standard,287.09,Drama,2024-12-04,2024-04-13,5640,0.05107978723404255,1
209,Katie Smith,52,Japan,Premium,745.62,Drama,2024-11-16,2023-11-26,8544,0.08738529962546816,0
210,Katie Smith,51,USA,Basic,366.11,Drama,2024-06-14,2024-04-11,1536,0.23900390625,0
211,Chris Smith,41,Germany,Basic,800.18,Horror,2024-07-23,2024-03-03,3408,0.23508802816901406,0
212,Alex Smith,68,Mexico,Premium,218.0,Horror,2024-10-20,2023-11-01,8496,0.02577683615819209,1
213,Michael Johnson,62,India,Basic,811.94,Comedy,2024-06-16,2024-03-21,2088,0.3893390804597701,0
214,Sarah Brown,59,UK,Standard,154.17,Sci-Fi,2025-01-20,2024-03-26,7200,0.021551388888888887,0
215,James Brown,40,Mexico,Standard,538.64,Sci-Fi,2025-01-29,2024-11-08,1968,0.2742073170731707,0
216,Alex Hernandez,21,Japan,Premium,952.42,Drama,2024-09-01,2023-07-31,9552,0.09981365159128978,0
217,John Davis,38,Canada,Premium,60.01,Documentary,2024-11-10,2024-05-15,4296,0.014201582867783984,0
218,Alex Garcia,55,Brazil,Basic,31.08,Romance,2025-03-02,2024-11-04,2832,0.011327683615819208,0
219,Emma Hernandez,68,UK,Standard,769.68,Drama,2024-12-07,2024-06-10,4320,0.17839814814814814,0
220,Sarah Miller,13,Canada,Premium,205.73,Drama,2024-08-09,2024-04-11,2880,0.07178124999999999,1
221,Alex Jones,23,Canada,Premium,449.56,Romance,2024-10-27,2024-02-01,6456,0.06978934324659232,0
222,Katie Davis,26,France,Standard,324.19,Horror,2024-04-07,2023-07-10,6528,0.049814644607843135,1
223,Sarah Davis,29,Mexico,Basic,349.96,Documentary,2024-06-06,2024-02-06,2904,0.12085399449035812,1
224,John Johnson,76,Australia,Standard,484.18,Action,2024-06-27,2024-02-24,2976,0.16303091397849462,0
225,Emma Davis,80,UK,Basic,691.81,Documentary,2024-05-24,2024-02-20,2256,0.3070966312056737,0
226,Emma Brown,20,Brazil,Standard,641.48,Drama,2024-07-21,2023-11-02,6288,0.10217557251908398,1
227,John Williams,29,India,Premium,462.73,Documentary,2024-06-16,2023-06-18,8736,0.05308264652014652,1
228,Emma Martinez,36,Canada,Premium,655.31,Action,2024-08-05,2024-03-02,3744,0.17529647435897436,0
229,Emma Hernandez,42,Japan,Premium,630.76,Sci-Fi,2024-03-19,2023-03-17,8832,0.07153079710144927,0
230,Chris Martinez,50,USA,Basic,20.48,Horror,2024-12-26,2024-07-26,3672,0.005849673202614379,0
231,Sarah Miller,70,Canada,Basic,857.43,Action,2025-02-27,2024-06-27,5880,0.14599149659863944,0
232,Sarah Brown,24,India,Standard,23.35,Romance,2024-04-25,2024-02-29,1344,0.018117559523809525,1
233,Alex Johnson,57,Japan,Standard,52.82,Sci-Fi,2024-05-28,2023-07-03,7920,0.0067954545454545455,1
234,Katie Smith,45,USA,Basic,332.26,Drama,2024-10-03,2024-01-04,6552,0.050863858363858365,0
235,Chris Davis,72,Germany,Basic,54.61,Horror,2024-04-18,2023-08-09,6072,0.009158432147562583,1
236,David Hernandez,51,Mexico,Basic,438.98,Horror,2024-09-23,2023-12-11,6888,0.06387630662020906,1
237,Katie Jones,20,Brazil,Standard,539.58,Action,2024-06-06,2024-03-15,1992,0.2713755020080322,0
238,Emma Hernandez,21,India,Standard,959.06,Comedy,2024-11-23,2024-05-18,4536,0.21165343915343915,0
239,James Garcia,14,Japan,Standard,45.63,Drama,2025-01-04,2024-05-08,5784,0.008061894882434303,0
240,Alex Smith,42,Mexico,Standard,903.41,Drama,2025-02-01,2024-11-11,1968,0.45955792682926827,0
241,Sarah Martinez,45,Australia,Basic,687.91,Comedy,2024-06-29,2023-06-15,9120,0.07553837719298245,1
242,Jane Davis,57,India,Standard,561.13,Romance,2025-01-14,2024-06-11,5208,0.10793586789554531,0
243,James Jones,74,Brazil,Basic,675.0,Action,2024-10-20,2024-02-21,5808,0.11639118457300275,1
244,Jane Williams,18,UK,Standard,890.77,Romance,2024-06-23,2023-12-08,4752,0.18766203703703704,0
245,Chris Brown,35,UK,Standard,746.89,Horror,2025-01-21,2024-05-05,6264,0.11939495530012771,0
246,Sarah Jones,61,Australia,Premium,138.06,Action,2024-07-29,2024-03-26,3000,0.04635333333333334,1
247,Michael Brown,77,UK,Standard,225.61,Action,2024-03-19,2023-08-21,5064,0.04474921011058452,0
248,John Garcia,57,Brazil,Standard,394.56,Action,2024-04-03,2023-12-17,2592,0.15260802469135804,0
249,Chris Martinez,73,Canada,Basic,902.54,Sci-Fi,2024-06-28,2024-04-19,1680,0.5378214285714286,0
250,Emma Brown,58,France,Basic,491.04,Romance,2024-11-04,2023-11-28,8208,0.05994639376218324,1
251,Sarah Garcia,26,France,Basic,83.59,Sci-Fi,2024-11-21,2024-01-08,7632,0.011083595387840671,1
